  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              1,         0,           0,          0,         1,           0,          0,          0,            0,           0
  1,             0,               0,              0,         0,           0,          0,         1,           0,          0,          0,            0,           0
  2,             1,               0,              0,         1,           2,          1,         4,           0,          2,          1,            0,           0
  3,             2,               0,              0,         3,           5,          1,        15,           3,          2,          3,            0,           0
  4,             4,               1,              0,         4,           5,          1,        19,           5,          2,          6,            1,           1
  5,             5,               1,              0,         8,          10,          1,        33,           8,          3,         10,            1,           1
  6,             9,               4,              1,         8,           7,          1,        51,          13,          4,         15,            4,           1
  7,            12,               6,              1,        12,          12,          2,        59,          14,          4,         21,            6,           2
  8,            13,               6,              1,        19,          20,          2,        63,          18,          4,         28,            6,           1
  9,            14,               6,              1,        27,          29,          2,        76,          23,          5,         36,            6,           2
 10,            16,               7,              1,        28,          29,          3,        91,          27,          5,         45,            7,           2
 11,            18,               8,              1,        37,          39,          3,       109,          31,          6,         55,            8,           2
 12,            19,               8,              1,        48,          51,          4,       129,          37,          7,         66,            8,           2
 13,            20,               8,              1,        60,          64,          3,       135,          40,          7,         78,            8,           3
 14,            21,               8,              1,        73,          78,          5,       142,          43,          7,         91,            8,           3
 15,            22,               8,              1,        74,          78,          4,       151,          45,          7,        105,            8,           4
 16,            23,               8,              1,        89,          94,          5,       157,          51,          9,        120,            8,           4
 17,            24,               8,              1,       105,         111,         11,       171,          57,         11,        136,            8,           4
 18,            25,               8,              1,       122,         129,         25,       189,          62,         10,        153,            8,           6
 19,            27,               9,              1,       123,         129,          6,       205,          69,         15,        171,            9,           8
 20,            28,               9,              3,       142,         149,          9,       223,          73,         10,        190,            9,           6
 21,            29,               9,              1,       162,         170,         11,       239,          79,         11,        210,            9,           6
 22,            30,               9,              1,       183,         192,         15,       256,          85,         13,        231,            9,           7
 23,            31,               9,              1,       205,         215,          9,       276,          90,         11,        253,            9,           8
 24,            32,               9,              1,       228,         239,         10,       299,          97,         13,        276,            9,           8
 25,            33,               9,              1,       252,         264,         11,       306,         101,         18,        300,            9,           9
 26,            34,               9,              1,       277,         290,         13,       313,         106,         22,        325,            9,          10
 27,            35,               9,              1,       303,         317,         12,       324,         109,         14,        351,            9,          10
 28,            37,              10,              1,       304,         317,        107,       332,         115,         16,        378,           10,          11
 29,            39,              11,              1,       331,         345,         12,       344,         118,         15,        406,           11,          12
 30,            40,              11,              1,       360,         375,          5,       357,         121,         16,        435,           11,          12
 31,            41,              11,              1,       390,         406,          5,       368,         125,         16,        465,           11,          14
 32,            42,              11,              1,       421,         438,          5,       377,         132,         15,        496,           11,          47
 33,            43,              11,              1,       453,         471,         32,       392,         139,         17,        528,           11,          17
 34,            44,              11,              2,       486,         505,          6,       408,         146,         17,        561,           11,          16
 35,            46,              12,              2,       487,         505,          6,       424,         155,         21,        595,           12,          17
 36,            48,              13,              5,       489,         507,          5,       452,         158,         15,        630,           13,          18
 37,            50,              14,              2,       523,         541,          5,       471,         165,         25,        666,           14,          18
 38,            55,              18,              2,       496,         513,          5,       488,         176,         15,        703,           18,          20
 39,            56,              18,              2,       534,         552,          5,       513,         180,         15,        741,           18,          21
 40,            57,              18,              2,       573,         592,          5,       531,         186,         18,        780,           18,          22
 41,            58,              18,              2,       613,         633,          6,       548,         194,         17,        820,           18,          22
 42,            59,              18,              2,       654,         675,          7,       566,         200,         19,        861,           18,          24
 43,            61,              19,              2,       655,         675,          6,       584,         207,         19,        903,           19,          25
 44,            63,              20,              2,       697,         718,          6,       608,         215,         19,        946,           20,          26
 45,            65,              21,              2,       740,         762,          7,       631,         220,         21,        990,           21,          28
 46,            66,              21,              2,       785,         808,          7,       652,         228,         20,       1035,           21,          29
 47,            67,              21,              2,       831,         855,          7,       673,         235,         23,       1081,           21,          30
 48,            68,              21,              2,       878,         903,          8,       702,         241,         25,       1128,           21,          31
 49,            69,              21,              3,       926,         952,          8,       710,         246,         22,       1176,           21,          32
 50,            71,              22,              2,       927,         952,          8,       714,         254,         22,       1225,           22,          34
 51,            72,              22,              2,       977,        1003,          9,       729,         258,         23,       1275,           22,          35
 52,            73,              22,              3,      1028,        1055,         13,       737,         264,         23,       1326,           22,          37
 53,            75,              23,              2,      1029,        1055,          9,       750,         269,         29,       1378,           23,          38
 54,            77,              24,              3,      1081,        1108,          9,       763,         274,         16,       1431,           24,          39
 55,            78,              24,              3,      1135,        1163,         11,       780,         277,         19,       1485,           24,          41
 56,            80,              25,              3,      1136,        1163,         10,       790,         286,         16,       1540,           25,          42
 57,            81,              25,              3,      1192,        1220,         10,       800,         291,          7,       1596,           25,          43
 58,            82,              25,              3,      1249,        1278,         11,       809,         295,          6,       1653,           25,          45
 59,            83,              25,              3,      1307,        1337,         12,       823,         299,          6,       1711,           25,          46
 60,            85,              26,              3,      1308,        1337,         11,       833,         306,          6,       1770,           26,          47
 61,            86,              26,              3,      1368,        1398,         16,       849,         309,          6,       1830,           26,          49
 62,            87,              26,              3,      1369,        1398,          3,       865,         315,          6,       1891,           26,        2996
 63,            88,              26,              3,      1431,        1461,          8,       881,         319,          9,       1953,           26,          58
 64,            89,              26,              3,      1494,        1525,          3,       889,         328,          5,       2016,           26,          54
 65,            90,              26,              4,      1558,        1590,          3,       905,         336,          5,       2080,           26,          56
 66,            91,              26,              3,      1623,        1656,          3,       923,         343,          8,       2145,           26,          58
 67,            92,              26,              3,      1689,        1723,          3,       936,         353,          8,       2211,           26,          60
 68,            94,              27,              3,      1690,        1723,          3,       968,         359,          6,       2278,           27,          61
 69,            97,              29,              3,      1692,        1725,          3,       987,         368,          5,       2346,           29,          63
 70,           100,              31,              3,      1759,        1792,          3,      1009,         376,          7,       2415,           31,          65
 71,           101,              31,              4,      1829,        1863,          4,      1024,         385,         10,       2485,           31,          66
 72,           102,              31,              3,      1900,        1935,          4,      1054,         390,          6,       2556,           31,          68
 73,           104,              32,              3,      1901,        1935,          4,      1068,         399,          7,       2628,           32,          69
 74,           106,              33,              3,      1973,        2008,          5,      1094,         405,          7,       2701,           33,          72
 75,           107,              33,              4,      2047,        2083,          4,      1114,         414,          6,       2775,           33,          74
 76,           108,              33,              3,      2122,        2159,          5,      1134,         424,          8,       2850,           33,          76
 77,           109,              33,              3,      2198,        2236,          4,      1160,         431,          6,       2926,           33,          77
 78,           111,              34,              3,      2199,        2236,          4,      1174,         442,          8,       3003,           34,          80
 79,           112,              34,              4,      2277,        2315,          4,      1204,         445,          9,       3081,           34,          81
 80,           113,              34,              4,      2356,        2395,          4,      1228,         452,          8,       3160,           34,          84
 81,           114,              34,              3,      2436,        2476,          5,      1244,         461,          8,       3240,           34,          85
 82,           115,              34,              4,      2517,        2558,          5,      1259,         472,          8,       3321,           34,          87
 83,           116,              34,              4,      2599,        2641,          5,      1285,         479,          7,       3403,           34,          90
 84,           117,              34,              4,      2682,        2725,          5,      1302,         486,          8,       3486,           34,          91
 85,           118,              34,              4,      2766,        2810,          5,      1325,         492,         10,       3570,           34,          95
 86,           119,              34,              4,      2767,        2810,          5,      1344,         501,          9,       3655,           34,          96
 87,           120,              34,              4,      2853,        2897,          5,      1366,         509,         14,       3741,           34,          98
 88,           121,              34,              4,      2940,        2985,          5,      1391,         517,          9,       3828,           34,         106
 89,           122,              34,              4,      3028,        3074,          8,      1411,         525,          9,       3916,           34,         103
 90,           124,              35,              4,      3029,        3074,          5,      1434,         535,          9,       4005,           35,         280
 91,           125,              35,              4,      3119,        3165,          6,      1454,         542,         10,       4095,           35,         107
 92,           126,              35,              4,      3210,        3257,          6,      1483,         548,         11,       4186,           35,         109
 93,           128,              36,              5,      3211,        3257,          6,      1502,         559,         10,       4278,           36,         112
 94,           129,              36,              4,      3304,        3351,          6,      1536,         563,          9,       4371,           36,         114
 95,           130,              36,              4,      3398,        3446,          6,      1551,         574,         10,       4465,           36,         116
 96,           131,              36,              4,      3493,        3542,          7,      1582,         582,         10,       4560,           36,         119
 97,           132,              36,              4,      3589,        3639,          7,      1591,         588,         12,       4656,           36,         121
 98,           134,              37,              4,      3590,        3639,          6,      1613,         591,         10,       4753,           37,         123
 99,           136,              38,              4,      3687,        3737,          7,      1628,         595,         10,       4851,           38,         126
100,           137,              38,              5,      3786,        3837,          7,      1616,         612,         11,       4950,           38,         129
